le영화명,메이저제작사,메이저배급사,전국스크린수,전국매출액,전국관객수,상영횟수,독립여부,스타파워,감독파워,관람객평점,평론가평점,네티즌평점,청불,15세,12세,전체
리스펙트,0 ,0 ,41 ,18974250 ,2279 ,422 ,1 ,0 ,0 ,8 ,5 ,6 ,0 ,1 ,0 ,0 
샘,0 ,1 ,68 ,24832750 ,3109 ,630 ,0 ,0 ,0 ,9 ,5 ,9 ,0 ,0 ,1 ,0 
소녀의세계,0 ,0 ,14 ,10440000 ,1458 ,205 ,1 ,0 ,0 ,9 ,4 ,8 ,0 ,0 ,1 ,0 
천당의밤과안개,0 ,0 ,5 ,3350200 ,295 ,49 ,1 ,0 ,0 ,8 ,8 ,8 ,0 ,0 ,0 ,1 
도어락,1 ,1 ,954 ,12792097886 ,1559616 ,53732 ,0 ,1 ,0 ,8 ,6 ,6 ,0 ,1 ,0 ,0 
린닝벤:풀룰루의역습,1 ,1 ,511 ,1420218750 ,186912 ,5521 ,0 ,0 ,0 ,8 ,6 ,8 ,0 ,0 ,0 ,1 
다영씨,0 ,0 ,19 ,7008600 ,1007 ,225 ,1 ,0 ,0 ,8 ,6 ,8 ,0 ,0 ,1 ,0 
데스트랩,0 ,0 ,1 ,223500 ,35 ,6 ,1 ,0 ,0 ,10 ,6 ,6 ,0 ,1 ,0 ,0 
리벤저,0 ,0 ,57 ,23924100 ,3232 ,369 ,0 ,0 ,0 ,9 ,,5 ,0 ,1 ,0 ,0 
번개맨의비밀,1 ,0 ,309 ,394126050 ,50863 ,2270 ,0 ,0 ,0 ,9 ,,9 ,0 ,0 ,0 ,1 
아메리카타운,0 ,0 ,7 ,1197000 ,203 ,61 ,1 ,0 ,0 ,8 ,,7 ,0 ,1 ,0 ,0 
트와이스랜드,1 ,1 ,53 ,153765000 ,18252 ,572 ,0 ,1 ,0 ,,,9 ,0 ,0 ,0 ,1 
안녕，나의소녀시절이여,0 ,0 ,11 ,16560500 ,2055 ,180 ,1 ,0 ,0 ,9 ,5 ,8 ,0 ,0 ,0 ,1 
선종무문관,,0 ,3 ,8529800 ,1009 ,32 ,1 ,0 ,0 ,10 ,,9 ,0 ,0 ,0 ,1 
어른이되면,,0 ,24 ,31009900 ,4216 ,303 ,1 ,0 ,0 ,10 ,7 ,10 ,0 ,0 ,0 ,1 
마약왕,1 ,1 ,1297 ,15784724552 ,1813594 ,41658 ,0 ,1 ,1 ,7 ,5 ,6 ,1 ,0 ,0 ,0 
스윙키즈,1 ,1 ,984 ,10308565602 ,1258811 ,32237 ,0 ,1 ,1 ,9 ,6 ,8 ,0 ,0 ,1 ,0 
버블패밀리,0 ,0 ,12 ,5396700 ,848 ,123 ,1 ,0 ,0 ,9 ,6 ,10 ,0 ,0 ,0 ,1 
점박이 한반도의 공룡2 : 새로운 낙원,0 ,1 ,672 ,2941541400 ,375312 ,6495 ,0 ,0 ,0 ,9 ,7 ,9 ,0 ,0 ,0 ,1 
PMC： 더벙커,1 ,1 ,1081 ,9704247367 ,1179031 ,26690 ,0 ,1 ,0 ,7 ,7 ,5 ,0 ,1 ,0 ,0 
두번째겨울,0 ,0 ,4 ,132800 ,23 ,11 ,1 ,0 ,0 ,9 ,,7 ,0 ,0 ,1 ,0 
