le영화명,메이저제작사,메이저배급사,전국스크린수,전국매출액,전국관객수,상영횟수,독립여부,스타파워,감독파워,관람객평점,평론가평점,네티즌평점,청불,15세,12세,전체
안나카레니나,0 ,0 ,10 ,50200800 ,3523 ,104 ,0 ,0 ,0 ,,,9 ,0 ,0 ,1 ,0 
변산,0 ,1 ,763 ,4016562273 ,490519 ,27501 ,0 ,1 ,1 ,8 ,7 ,8 ,0 ,1 ,0 ,0 
식구,0 ,0 ,52 ,30175400 ,3816 ,471 ,0 ,0 ,0 ,9 ,,7 ,0 ,1 ,0 ,0 
속닥속닥,0 ,0 ,314 ,1900914300 ,217444 ,8246 ,0 ,0 ,0 ,9 ,4 ,5 ,0 ,1 ,0 ,0 
노맨스랜드,0 ,0 ,2 ,601000 ,84 ,16 ,1 ,0 ,0 ,10 ,,9 ,0 ,1 ,0 ,0 
화영,0 ,0 ,16 ,45361700 ,5463 ,426 ,1 ,0 ,0 ,,,3 ,1 ,0 ,0 ,0 
행복의나라,0 ,0 ,15 ,6607800 ,1006 ,258 ,1 ,0 ,0 ,9 ,6 ,7 ,1 ,0 ,0 ,0 
신비아파트:금빛도께비와비밀의동굴,1 ,1 ,762 ,5001247250 ,678091 ,16174 ,0 ,0 ,0 ,9 ,6 ,9 ,0 ,0 ,0 ,1 
인랑,1 ,1 ,1085 ,7006622673 ,898945 ,25425 ,0 ,1 ,1 ,5 ,6 ,4 ,0 ,1 ,0 ,0 
해적왕 작스톰,0 ,0 ,65 ,45905800 ,5916 ,441 ,0 ,0 ,0 ,7 ,,9 ,0 ,0 ,0 ,1 
극장판헬로카봇:백악기시대,1 ,1 ,758 ,6589532500 ,879449 ,16172 ,0 ,0 ,0 ,9 ,6 ,9 ,0 ,0 ,0 ,1 
신과함께-인과연,1 ,1 ,2235 ,102666146909 ,12274996 ,179979 ,0 ,1 ,1 ,9 ,6 ,8 ,0 ,0 ,1 ,0 
공작,1 ,1 ,1317 ,42788851176 ,4974520 ,98998 ,0 ,1 ,1 ,8 ,7 ,7 ,0 ,0 ,1 ,0 
필동,0 ,0 ,1 ,137000 ,20 ,6 ,1 ,0 ,0 ,10 ,,9 ,0 ,1 ,0 ,0 
룸싸롱맛있는서비스,0 ,0 ,20 ,630000 ,112 ,41 ,0 ,0 ,0 ,,,4 ,1 ,0 ,0 ,0 
22,0 ,1 ,31 ,18668000 ,2434 ,311 ,1 ,0 ,0 ,10 ,6 ,9 ,0 ,0 ,0 ,1 
목격자,1 ,1 ,1021 ,21737061097 ,2524720 ,71402 ,0 ,1 ,0 ,8 ,5 ,5 ,0 ,1 ,0 ,0 
오장군의발톱,0 ,0 ,9 ,18840600 ,3339 ,212 ,1 ,0 ,0 ,8 ,,6 ,0 ,0 ,1 ,0 
카운터스,0 ,0 ,51 ,37891900 ,4861 ,885 ,1 ,0 ,0 ,9 ,7 ,9 ,0 ,1 ,0 ,0 
소성리,0 ,0 ,18 ,14012500 ,2206 ,318 ,1 ,0 ,0 ,8 ,8 ,6 ,0 ,0 ,1 ,0 
너의결혼식,1 ,1 ,970 ,23676244369 ,2820969 ,98192 ,0 ,1 ,0 ,9 ,7 ,8 ,0 ,0 ,1 ,0 
어른도감,0 ,0 ,58 ,53139700 ,6956 ,971 ,1 ,0 ,0 ,8 ,7 ,8 ,0 ,0 ,1 ,0 
상류사회,1 ,1 ,867 ,6313416163 ,768442 ,41725 ,0 ,1 ,1 ,6 ,4 ,4 ,1 ,0 ,0 ,0 
대관람차,0 ,0 ,36 ,29812250 ,3591 ,622 ,1 ,0 ,0 ,8 ,6 ,8 ,0 ,0 ,1 ,0 
미친도시,0 ,0 ,4 ,26038500 ,3452 ,50 ,0 ,0 ,0 ,9 ,,8 ,0 ,1 ,0 ,0 
살아남은아이,0 ,1 ,68 ,89921900 ,10789 ,1675 ,1 ,0 ,0 ,9 ,8 ,8 ,0 ,0 ,1 ,0 
나비잠,0 ,0 ,91 ,89716950 ,10605 ,1618 ,0 ,0 ,0 ,8 ,6 ,8 ,0 ,1 ,0 ,0 
딥,0 ,0 ,9 ,1796500 ,248 ,57 ,1 ,0 ,0 ,,3 ,6 ,0 ,1 ,0 ,0 
어둔밤,0 ,0 ,17 ,11899300 ,1436 ,262 ,1 ,0 ,0 ,9 ,7 ,8 ,0 ,1 ,0 ,0 
맞짱,0 ,0 ,11 ,2755000 ,1144 ,83 ,0 ,0 ,0 ,,,3 ,1 ,0 ,0 ,0 
물괴,1 ,1 ,1183 ,6106452954 ,723622 ,46022 ,0 ,1 ,0 ,6 ,5 ,5 ,0 ,1 ,0 ,0 
